taxonID,sName,friendlyName,category,gName
17026,hookeri,Phocarctos hookeri,EN,Phocarctos
22103,manatus,Trichechus manatus,VU,Trichechus
10303,gigas,Hydrodamalis gigas,EX,Hydrodamalis
22102,inunguis,Trichechus inunguis,VU,Trichechus
4162,hectori,Cephalorhynchus hectori,EN,Cephalorhynchus
9561,gulo,Gulo gulo,LC,Gulo
12848,martes,Martes martes,LC,Martes
13110,everetti,Melogale everetti,EN,Melogale
14018,lutreola,Mustela lutreola,CR,Mustela
14019,lutreolina,Mustela lutreolina,LC,Mustela
14020,nigripes,Mustela nigripes,EN,Mustela
14025,africana,Mustela africana,LC,Mustela
14026,felipei,Mustela felipei,VU,Mustela
14027,strigidorsa,Mustela strigidorsa,LC,Mustela
29672,foina,Martes foina,LC,Martes
29673,meles,Meles meles,LC,Meles
29674,erminea,Mustela erminea,LC,Mustela
29679,eversmanii,Mustela eversmanii,LC,Mustela
29680,peregusna,Vormela peregusna,VU,Vormela
40784,macrodon,Neovison macrodon,EX,Neovison
41626,moschata,Melogale moschata,LC,Melogale
41627,personata,Melogale personata,LC,Melogale
41629,capensis,Mellivora capensis,LC,Mellivora
41639,cuja,Galictis cuja,LC,Galictis
41640,vittata,Galictis vittata,LC,Galictis
41644,barbara,Eira barbara,LC,Eira
41645,libycus,Ictonyx libycus,LC,Ictonyx
41646,striatus,Ictonyx striatus,LC,Ictonyx
41647,patagonicus,Lyncodon patagonicus,LC,Lyncodon
41648,americana,Martes americana,LC,Martes
41649,flavigula,Martes flavigula,LC,Martes
41650,melampus,Martes melampus,LC,Martes
41652,zibellina,Martes zibellina,LC,Martes
41653,altaica,Mustela altaica,NT,Mustela
41654,frenata,Mustela frenata,LC,Mustela
41655,kathiah,Mustela kathiah,LC,Mustela
41656,itatsi,Mustela itatsi,NT,Mustela
41657,nudipes,Mustela nudipes,LC,Mustela
41658,putorius,Mustela putorius,LC,Mustela
41659,sibirica,Mustela sibirica,LC,Mustela
41661,vison,Neovison vison,LC,Neovison
41662,albinucha,Poecilogale albinucha,LC,Poecilogale
41663,taxus,Taxidea taxus,LC,Taxidea
41697,orientalis,Melogale orientalis,LC,Melogale
136242,anakuma,Meles anakuma,LC,Meles
136385,leucurus,Meles leucurus,LC,Meles
2055,australis,Arctocephalus australis,LC,Arctocephalus
2057,galapagoensis,Arctocephalus galapagoensis,EN,Arctocephalus
2060,pusillus,Arctocephalus pusillus,LC,Arctocephalus
2061,townsendi,Arctocephalus townsendi,LC,Arctocephalus
2062,tropicalis,Arctocephalus tropicalis,LC,Arctocephalus
3590,ursinus,Callorhinus ursinus,VU,Callorhinus
6204,cristata,Cystophora cristata,VU,Cystophora
8010,barbatus,Erignathus barbatus,LC,Erignathus
8239,jubatus,Eumetopias jubatus,NT,Eumetopias
9660,grypus,Halichoerus grypus,LC,Halichoerus
10340,leptonyx,Hydrurga leptonyx,LC,Hydrurga
11696,weddellii,Leptonychotes weddellii,LC,Leptonychotes
12246,carcinophaga,Lobodon carcinophaga,LC,Lobodon
